Gap_Number,Gap_KM,Gap_Miles,Before_KM,Before_Miles,Before_Title,After_KM,After_Miles,After_Title
1,72.42,45,651.78,405,"Meet Glorfindel",724.20,450,"Attacked by Nazgul at the Ford of Bruinen"
2,72.42,45,1385.64,861,"Cross the Silverlode on ropes",1458.06,906,"Reach the hill of Cerin Amroth"
3,70.81,44,2467.12,1533,"Led to Henneth Annûn",2537.93,1577,"End of the forest"
4,75.64,47,2657.02,1651,"Stagnant pool of water",2732.66,1698,"Out on the plain, drawing near Isenmouthe"
5,91.73,57,2732.66,1698,"Out on the plain, drawing near Isenmouthe",2824.39,1755,"The Dreadful Nightfall"
6,80.47,50,3056.14,1899,"Reach the Gates of Minas Tirith",3136.60,1949,"Camp by road north of the Drúadan Forest"
7,82.08,51,3136.60,1949,"Camp by road north of the Drúadan Forest",3218.68,2000,"Pass the beacon on Nardol, the “Fire Hill”"
8,82.08,51,3218.68,2000,"Pass the beacon on Nardol, the “Fire Hill”",3300.76,2051,"The beacon hill of Minrimmon is on the left"
9,138.40,86,3347.43,2080,"The beacon tower of Calenhad stands on a foothill of Calenhad peak",3485.83,2166,"North of the road, is the Entwash"
10,86.90,54,3550.20,2206,"Leave the Folde",3637.11,2260,"Ford the Snowbourne"
11,90.12,56,3637.11,2260,"Ford the Snowbourne",3727.23,2316,"Cross a small stream"
12,90.12,56,3827.01,2378,"Reach Helm’s Deep",3917.13,2434,"Treegarth of Orthanc, Isengard is no more"
13,72.42,45,3917.13,2434,"Treegarth of Orthanc, Isengard is no more",3989.55,2479,"Camp, still in the Gap of Rohan"
14,72.42,45,4230.95,2629,"Enter Northern Dunland",4303.38,2674,"Draw farther and farther from the mountains and foothills"
15,72.42,45,4303.38,2674,"Draw farther and farther from the mountains and foothills",4375.80,2719,"Marshes of the Swanfleet lie to the north"
16,80.47,50,4440.17,2759,"Can see mists above the fens of the Swanfleet delta",4520.64,2809,"Reach the ruins of Ost-en-Edhil"
17,80.47,50,4681.57,2909,"Open country. Gentle slopes, easier for the ponies",4762.04,2959,"Camp atop Hollin Ridge among the large smooth towering rocks"
18,90.12,56,4762.04,2959,"Camp atop Hollin Ridge among the large smooth towering rocks",4852.16,3015,"Descend a slope to a small stream valley"
19,85.30,53,5730.86,3561,"Reach the point where the road splits",5816.15,3614,"Camp in the open lands"
